274,132,75,81
273,170,75,81
272,205,79,85
272,250,79,85
270,233,79,85
271,185,79,85
272,149,79,85
272,137,79,85
272,142,79,85
270,168,79,85
273,195,79,85
280,161,79,85
282,161,75,81
269,197,79,85
269,172,79,85
264,158,83,89
264,160,83,89
262,183,83,89
259,219,83,89
257,271,83,89
256,254,83,89
257,212,83,89
257,184,83,89
256,177,83,89
254,186,83,89
253,214,83,89
251,255,83,89
249,278,83,89
249,241,83,89
247,206,83,89
245,194,83,89
244,200,83,89
241,227,83,89
239,257,83,89
236,285,83,89
235,248,83,89
233,218,83,89
231,211,83,89
229,221,83,89
226,254,83,89
223,297,83,89
222,277,83,89
218,240,83,89
218,224,83,89
214,230,83,89
212,256,83,89
208,293,83,89
206,286,83,89
204,251,83,89
200,236,87,94
197,242,87,94
195,270,87,94
192,304,87,94
190,281,87,94
187,254,87,94
185,250,87,94
180,267,87,94
175,298,91,98
174,299,91,98
171,269,91,98
169,259,91,98
167,270,91,98
163,302,91,98
163,304,91,98
161,276,91,98
160,268,91,98
157,283,91,98
154,312,91,98
154,300,91,98
150,279,91,98
149,280,91,98
144,305,91,98
142,312,91,98
140,291,91,98
136,286,91,98
133,303,91,98
130,318,91,98
127,299,91,98
124,292,91,98
120,306,91,98
117,321,91,98
113,303,91,98
109,298,91,98
104,316,91,98
100,320,91,98
96,305,91,98
92,308,91,98
87,327,91,98
83,316,91,98
78,310,91,98
72,324,91,98
67,324,91,98
61,315,91,98
57,324,91,98
51,330,91,98
46,318,91,98
41,327,91,98
36,332,91,98
31,323,91,98
25,332,91,98
19,332,91,98
15,328,91,98
