274	132	75	81
271	140	75	81
269	148	75	81
267	155	75	81
264	163	75	81
261	171	75	81
564	16	52	60
416	91	64	78
352	119	70	82
314	138	74	89
310	144	74	89
306	149	74	89
301	156	74	89
296	162	74	89
292	168	74	89
263	183	81	100
255	178	85	99
250	178	86	99
244	183	86	99
238	188	86	99
233	193	86	99
227	198	86	99
221	204	86	99
243	198	86	101
246	193	85	100
246	197	85	103
244	201	85	103
241	204	85	103
239	208	85	103
239	229	89	112
237	222	91	113
236	215	92	108
235	211	92	112
233	213	92	112
232	215	92	112
230	217	92	112
225	235	92	113
223	230	93	109
220	225	93	106
219	227	93	108
217	229	93	108
215	231	93	108
208	252	95	114
206	248	95	113
203	241	96	109
201	239	96	109
200	249	95	113
197	251	95	113
194	268	94	113
191	262	95	111
189	255	95	107
187	252	95	107
184	260	95	112
182	263	95	112
178	271	94	113
175	264	94	110
173	260	95	107
170	265	96	109
167	266	96	109
164	282	95	113
161	278	95	111
158	276	96	107
156	277	97	108
154	278	97	108
152	290	96	113
150	286	96	111
147	282	98	109
147	285	97	110
145	286	97	110
142	293	97	112
140	290	98	108
138	289	98	108
135	291	98	108
133	306	97	110
129	303	97	108
125	300	98	106
123	304	97	111
119	315	97	115
115	311	97	113
111	307	99	110
107	308	98	114
104	309	98	114
99	308	98	111
95	306	99	110
91	313	99	115
87	318	98	116
82	317	99	113
78	316	99	112
73	318	99	112
67	319	100	112
63	319	100	110
59	320	100	110
53	327	101	116
47	325	101	114
42	329	101	118
34	335	102	120
28	332	103	117
24	334	103	120
19	336	103	122
13	336	103	119
5	337	104	123
