71	251	24	18
71	251	24	17
73	251	24	18
76	252	23	18
80	252	23	19
86	253	21	19
90	254	22	20
99	255	19	19
106	257	19	19
114	259	18	19
122	262	18	16
130	263	17	18
137	265	18	18
146	266	17	18
152	269	18	16
160	270	17	17
167	271	17	17
173	273	17	18
180	275	17	18
188	280	16	19
195	294	19	17
202	314	22	17
212	354	18	18
221	343	18	18
231	346	18	18
243	355	18	18
256	350	17	18
266	355	18	19
278	353	18	19
289	356	17	18
293	356	18	18
298	356	18	19
302	356	18	19
307	356	18	19
312	356	18	19
317	356	18	19
322	356	18	19
328	357	17	18
332	356	19	19
338	357	18	19
343	357	18	19
348	357	19	19
353	357	19	19
358	357	18	19
363	357	18	19
368	357	18	19
372	357	18	19
377	358	17	18
381	358	17	19
384	358	18	19
387	358	19	19
390	358	18	19
393	358	18	19
395	358	19	19
397	358	18	19
398	358	18	19
399	358	18	19
399	358	19	19
399	358	19	19
399	358	19	19
399	358	19	18
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	19
399	358	18	18
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	19
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
399	358	18	18
400	358	17	18
