71,251,24,18
71,251,24,18
74,252,24,18
77,252,24,18
82,253,23,17
86,254,23,17
91,256,24,18
98,256,23,17
105,258,23,17
112,259,23,17
120,260,23,17
128,263,23,17
135,264,24,18
143,266,24,18
151,267,23,17
158,269,23,17
165,271,23,17
172,272,23,17
179,274,23,17
186,279,23,17
193,291,23,17
191,292,24,18
191,292,24,18
191,292,24,18
192,292,24,18
192,292,24,18
193,293,24,18
192,292,25,19
192,292,25,19
191,292,25,19
191,292,25,19
193,292,25,19
192,292,25,19
192,291,25,19
192,292,25,19
192,292,25,19
192,292,25,19
192,292,25,19
